,daft_id,date_entered,views,type,rent,num_bedroom,num_bathroom,available_from,furnished,lease,ber_rating,address,distance_from_city_centre,latitude,longitude,region,url,input_date,property_id
753,25313229,2023-07-03,4982,Apartment,2000.0,1,1," Jul 5th, 2023", Yes, Minimum 6 Months,A3,"Spencer Place Residential,Mayor Street Upper, NORTH WALL, Dublin 1, East Wall, Dublin 3",2.154319117,53.349133,-6.235502,Dublin 3,https://www.daft.ie/for-rent/apartment-spencer-place-residential-mayor-street-upper-north-wall-dublin-1-east-wall-dublin-3/5313229,2023-07-06,d704aed9fd0a91139ba14dd63347a3c55b4b93cf531666043e61f465f3a5166d
754,216795863,2023-07-03,2425,Apartment,3000.0,3,1, Immediately, Yes, Minimum 1 Year,C1,"7 Milltown Court, Milltown Road, Milltown, Dublin 6",3.927928444,53.312298,-6.246965,Dublin 6,https://www.daft.ie/for-rent/apartment-7-milltown-court-milltown-road-milltown-dublin-6/5320655,2023-07-06,04df05081697fb8c9013e8ba1e7b9d106f8c0e6f8af90e7ec70c8dca4a669d6a
755,216846151,2023-07-03,5744,Apartment,1857.0,2,1, Immediately, Yes, Minimum 9 Months,B2,"The Edges, Beacon South Quarter, Sandyford, Dublin 18",8.175590164,53.27861813,-6.216283196,Dublin 18,https://www.daft.ie/for-rent/apartment-the-edges-beacon-south-quarter-sandyford-dublin-18/5326544,2023-07-06,cab96085dfa23530ddde01c67681c09b8ecb03c494f65f7a8276689beb7f5ef3
756,216803863,2023-07-03,1373,House,2458.0,2,1, Immediately, Yes, Minimum 1 Year,D2,"Primrose Avenue, Broadstone, Phibsborough, Dublin 7",1.309226088,53.35689,-6.271735,Dublin 7,https://www.daft.ie/for-rent/house-primrose-avenue-broadstone-phibsborough-dublin-7/5321314,2023-07-06,9fb273219e983954a8d8775448f7be7dedd6e7f7d997137af2ddb77193c20126
758,216829071,2023-07-06,3019,Apartment,1371.0,1,1, Immediately, No, No Minimum,,"Hillview, Mount Talbot, Clondalkin, Dublin 22",7.651450304,53.3180513,-6.3726006,Dublin 22,https://www.daft.ie/for-rent/apartment-hillview-mount-talbot-clondalkin-dublin-22/5323656,2023-07-06,d39798084d5230d1cb5c484e367a4924577c09c90fefc4fb3e51b003e129e1e9
759,216829070,2023-07-06,663,House,2500.0,3,1, Immediately, No, No Minimum,,"Graydon Avenue, Newcastle, Co. Dublin",16.39772728,53.295578,-6.4988068,,https://www.daft.ie/for-rent/house-graydon-avenue-newcastle-co-dublin/5323655,2023-07-06,00c639cb7905b3a87bbd77bae1e51149abb8c866baddab3c454d2eff98b31856
760,216892383,2023-07-06,536,Apartment,1805.0,2,1, Immediately, No, No Minimum,,"Slade Castle, Saggart, Co. Dublin",14.02801423,53.27866,-6.44576,,https://www.daft.ie/for-rent/apartment-slade-castle-saggart-co-dublin/5330578,2023-07-06,34ee37fd7fc32c69d36d01dc5164445353bdee88e21959e2733c9caadee96fe7
761,216874771,2023-07-06,3672,Apartment,1550.0,1,1, Immediately, No, No Minimum,,"Leonards Court, Dublin 8",1.434015404,53.3334848,-6.2753029,Dublin 8,https://www.daft.ie/for-rent/apartment-leonards-court-dublin-8/5328971,2023-07-06,965a247cf5092a3d87a813bfd7fb55c6ac0c33764142e3ea39de64281e2c1e61
762,216514758,2023-07-06,6820,Studio,1250.0,0,1, Immediately, No, No Minimum,,"Cedarbrook Place, Cherry Orchard",7.464691492,53.34724693,-6.379298602,,https://www.daft.ie/for-rent/studio-apartment-cedarbrook-place-cherry-orchard/5290954,2023-07-06,1aeb9c41171eb3d3ae7f98b7539545df3a33f6ffc362e6cd678386fb8272ca08
763,216578868,2023-07-06,3662,House,2300.0,3,1, Immediately, No, No Minimum,C3,"St. Johns Crescent, Clondalkin, Dublin 22",9.839307088,53.3148415,-6.4058145,Dublin 22,https://www.daft.ie/for-rent/house-st-johns-crescent-clondalkin-dublin-22/5297904,2023-07-06,5e067dd143b6cf70f255c86e386f287df8aa2b88f2f1c4cf92caeb8253bcf6bf
764,216472034,2023-07-06,2608,Apartment,2100.0,2,2, Immediately, No, No Minimum,,"Hazelgrove Court, Tallaght, Dublin 24",11.52629961,53.2756078,-6.3949656,Dublin 24,https://www.daft.ie/for-rent/apartment-hazelgrove-court-tallaght-dublin-24/5286113,2023-07-06,36f009abc4fd22300dd205d5e029ec079e8706adafff39cfe1ba0cafc204ddcd
765,216560569,2023-07-06,3947,Apartment,2170.0,3,3, Immediately, No, No Minimum,,"Carrigmore Gardens, Citywest, Co. Dublin",12.91315763,53.28351,-6.4311038,,https://www.daft.ie/for-rent/apartment-carrigmore-gardens-citywest-co-dublin/5296080,2023-07-06,21db2f37134ec9938878471e85f073bf50ab21ad1fbabbb3ba8ef18327503082
766,216494467,2023-07-06,4659,Apartment,1800.0,2,1, Immediately, No, No Minimum,,"Bellevue, Tallaght, Dublin 24",10.5604029,53.28627019,-6.391135454,Dublin 24,https://www.daft.ie/for-rent/apartment-bellevue-tallaght-dublin-24/5288049,2023-07-06,e38c61005508865446e3c352cc5cce44d046d4e97295bcdab6f0dc4a26b65faf
767,216472032,2023-07-06,5347,Apartment,2448.0,2,2, Immediately, No, No Minimum,,"The Dock Mill, Grand Mill Quay, Dublin 2",2.083996922,53.340498,-6.237072949,Dublin 2,https://www.daft.ie/for-rent/apartment-the-dock-mill-grand-mill-quay-dublin-2/5286110,2023-07-06,6ae03e87726361e14859b38171d06da2cc6f784df8a97f4041088bdef9e9ba02
